Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
Lago Jnior,4,25,1805,4,0,0,0,30,12,40,47,6,13,1,22,36,32,11,14,0,2,0,2,0,3,3,0,0,5,0,23,15,77,0,0,0,0,0,0
Sergi Roberto,2,23,1809,1,2,0,0,5,200,40,24,700,29,0,8,31,17,24,15,0,7,0,0,0,0,0,0,0,2,0,11,1700,91,0,0,0,0,0,0
Anaitz Arbilla,2,21,1812,1,0,0,0,14,200,14,24,500,21,0,3,11,20,28,18,0,5,0,0,0,0,0,0,0,3,0,7,500,75,0,24,0,3,0,0
Roberto Soldado,4,24,1820,2,4,0,0,20,7,35,12,2,17,0,9,38,34,4,8,0,12,0,0,1,1,1,0,0,3,0,8,23,72,0,0,0,2,1,0
Antonio Puertas,4,26,1821,5,0,0,0,32,10,31,33,6,18,1,12,32,27,9,19,0,5,0,0,0,0,0,0,0,2,0,33,10,73,1,1,0,0,0,0
Didac Vil,2,22,1832,0,0,0,0,11,300,27,47,600,13,0,13,23,24,29,33,0,5,0,0,0,0,0,0,0,2,0,6,1100,68,0,2,0,0,0,0
Jos ngel,2,21,1835,1,1,0,0,17,400,24,114,2900,25,1,14,13,21,28,20,0,4,0,1,0,0,0,0,0,7,0,24,2100,71,1,32,8,5,3,1
Moi Gmez,3,27,1842,4,3,0,0,32,12,38,69,21,30,0,15,20,17,18,17,0,1,0,0,1,0,0,0,0,1,0,19,26,83,3,0,0,1,0,0
Sergio Postigo,2,21,1842,1,0,0,0,4,200,50,0,0,0,0,1,10,15,27,10,0,5,0,0,0,0,0,0,0,12,0,6,800,82,0,8,0,0,0,0
Rub Garca,3,24,1857,6,2,0,0,47,14,30,129,39,30,2,19,24,39,10,22,0,5,0,0,0,1,1,0,0,5,0,20,45,76,60,28,4,8,2,0
Sergio Busquets,3,24,1867,2,2,0,0,8,4,50,1,0,0,0,2,41,32,36,39,0,8,0,1,0,0,0,0,0,3,0,18,20,89,0,9,0,0,0,0
ver Banega,3,24,1868,2,6,0,0,28,7,25,123,36,29,1,14,41,22,8,19,0,6,0,0,0,2,2,0,0,0,0,40,43,86,72,32,6,2,0,0
lex Moreno,2,24,1873,0,4,0,0,21,800,38,61,1700,28,0,25,29,27,21,18,1,3,0,2,0,0,0,0,0,7,1,39,2100,79,0,0,0,0,0,0
Allan Nyom,2,26,1879,2,0,0,0,10,300,30,73,1500,21,0,16,17,48,13,19,0,10,0,0,0,0,0,0,0,4,0,8,600,62,0,2,0,0,0,0
Santi Cazorla,3,25,1883,8,6,0,0,40,20,50,113,33,29,2,15,29,21,14,18,0,3,0,0,0,6,6,0,0,1,0,40,56,86,67,27,4,0,0,0
Aridane Hernndez,2,21,1890,3,0,0,0,10,300,30,0,0,0,1,1,10,12,22,15,0,5,0,1,0,0,0,0,0,12,1,3,300,79,0,11,0,0,0,0
Nabil Fekir,4,23,1912,7,3,0,0,74,25,34,42,12,29,2,18,87,50,12,23,0,7,1,0,4,1,1,0,0,3,0,71,27,83,9,4,0,4,1,0
Joseph Aidoo,2,24,1923,0,1,0,0,10,100,10,0,0,0,1,1,15,15,36,19,0,4,0,2,0,0,0,0,0,11,2,6,100,87,0,9,0,0,0,0
Thomas Teye,3,25,1927,2,0,0,0,21,3,14,23,3,13,0,4,23,38,36,32,0,10,0,1,0,0,0,0,0,6,0,45,16,83,14,8,0,1,0,0
Salva Sevilla,3,25,1930,3,3,0,0,22,10,45,104,25,24,1,18,15,25,18,15,0,9,1,0,0,3,2,0,0,3,0,7,50,87,67,53,3,8,3,0
Koke Resurreccin,3,23,1944,2,5,0,0,16,5,31,75,17,23,0,11,25,13,25,26,0,4,0,0,1,0,0,0,0,7,0,10,49,85,40,40,1,0,0,0
Lucas Prez,4,26,1944,11,5,0,0,39,17,44,101,31,31,0,25,9,21,2,5,0,3,0,0,0,5,5,0,0,2,0,21,49,71,34,24,12,2,0,0
Aissa Mandi,2,22,1946,0,0,0,0,7,100,14,1,0,0,1,0,14,23,35,14,0,8,0,0,0,0,0,0,0,11,0,6,400,90,0,6,0,0,0,0
Jaime Mata,4,24,1947,8,3,0,0,38,19,50,38,8,21,0,20,42,67,5,9,0,10,0,0,1,2,2,0,0,0,0,10,21,65,0,0,0,0,0,0
Sergio Reguiln,2,23,1951,1,4,0,0,23,500,22,94,2800,30,0,19,36,46,28,28,0,7,0,0,0,0,0,0,0,5,0,35,3600,81,0,7,0,0,0,0
Toni Kroos,3,25,1963,4,5,0,0,45,16,36,111,27,24,0,18,36,17,18,19,0,1,0,0,0,0,0,0,0,0,0,19,50,93,68,33,4,1,0,0
Unai Bustinza,2,25,1966,0,1,0,0,6,300,50,40,600,15,0,5,39,42,53,31,0,3,0,1,0,0,0,0,0,7,1,5,1400,69,0,19,0,0,0,0
Lionel Messi,4,23,1980,20,14,0,0,108,56,52,59,16,27,0,23,40,11,4,7,0,3,0,0,0,3,3,0,0,0,0,126,60,83,28,26,4,23,10,4
David Garca Z.,2,23,1983,0,0,0,0,13,400,31,1,0,0,0,1,12,30,29,11,0,4,0,0,0,0,0,0,0,13,0,1,500,72,0,23,0,0,0,0
Lucas Ocampos,3,23,1984,11,3,0,0,58,25,43,73,15,21,3,38,47,30,20,25,0,8,1,0,1,3,3,0,0,2,0,51,19,78,0,0,0,0,0,0
Igor Zubeldia,3,24,2004,0,1,0,0,11,0,0,5,1,20,0,2,18,41,14,18,0,7,0,2,0,0,0,0,0,17,0,13,4,88,0,0,0,0,0,0
Damin Surez,2,23,2013,1,4,0,0,15,400,27,125,2400,19,0,12,39,42,22,23,0,12,0,0,0,0,0,0,0,2,0,19,2500,65,45,44,1,5,2,0
Martin Odegaard,3,23,2015,4,5,0,0,42,14,33,93,28,30,0,17,29,22,9,14,0,3,0,0,0,0,0,0,0,0,0,57,54,85,48,41,7,3,1,1
Jos Luis Morales,4,28,2016,2,2,0,0,32,12,38,58,11,19,1,32,12,9,7,7,0,2,0,0,0,0,0,0,0,1,0,29,28,69,0,0,0,0,0,0
Jorge Miramn,2,25,2021,0,3,0,0,10,300,30,60,1500,25,0,15,20,14,34,23,0,4,0,2,0,0,0,0,0,8,1,12,2100,77,0,0,0,0,0,0
Daniel Carvajal,2,23,2025,1,5,0,0,13,600,46,87,1900,22,0,16,20,36,30,36,0,8,0,0,0,0,0,0,0,9,0,18,3700,87,0,1,0,0,0,0
Vctor Laguardia,2,23,2025,1,2,0,0,8,200,25,2,200,100,1,1,8,33,30,13,0,8,1,0,0,0,0,0,0,16,0,2,700,73,0,24,0,0,0,0
Aleix Vidal,3,26,2032,2,4,0,0,21,9,43,102,42,41,0,13,43,16,21,13,0,6,0,0,1,0,0,0,0,1,0,23,42,77,31,35,10,3,0,0
scar Plano,4,28,2034,3,2,0,0,34,12,35,35,9,26,0,14,48,39,30,22,0,4,0,0,1,0,0,0,0,2,0,12,20,73,5,2,0,0,0,0
Joseba Zaldua,2,24,2050,0,2,0,0,7,200,29,83,2000,24,0,19,48,31,35,28,0,6,0,1,0,0,0,0,1,7,0,14,1200,78,0,2,0,0,0,0
Joselu Sanmartn,4,26,2054,9,2,0,0,61,21,34,3,1,33,1,9,41,39,10,13,0,5,0,0,1,0,0,0,0,3,0,11,12,54,0,0,0,1,0,0
Marc Bartra,2,24,2062,2,1,0,0,19,300,16,1,0,0,0,0,25,27,30,29,0,6,0,2,0,0,0,0,0,19,0,10,400,84,0,8,0,0,0,0
Roberto Torres,3,26,2068,6,7,0,0,66,20,30,116,26,22,4,19,26,14,21,11,0,1,0,1,0,5,5,0,0,2,0,13,30,71,39,20,2,9,2,0
Frenkie de Jong,3,27,2071,2,2,0,0,4,4,100,3,1,33,0,4,28,23,23,20,0,3,1,0,0,0,0,0,0,7,0,44,24,92,0,0,0,0,0,0
Antonio Raillo,2,24,2083,1,0,0,0,13,200,15,0,0,0,0,1,7,24,17,19,0,6,1,2,0,0,0,0,0,19,0,3,400,81,0,12,0,0,0,0
Gabriel Paulista,2,24,2088,1,0,0,0,6,200,33,1,0,0,0,2,17,14,45,11,0,5,0,0,0,0,0,0,0,26,0,5,0,89,0,7,0,0,0,0
Nemanja Maksimovic,3,25,2112,2,0,0,0,24,9,38,6,3,50,1,4,9,15,39,24,0,5,0,0,0,0,0,0,0,5,0,10,5,70,0,0,0,0,0,0
Emerson de Souza,2,24,2115,3,5,0,0,24,500,21,53,1300,25,0,12,63,30,25,33,0,9,0,0,0,0,0,0,0,8,0,10,2000,78,0,6,0,0,0,0
Gerard Moreno,4,26,2115,11,3,0,0,72,25,35,52,9,17,2,13,35,28,11,8,0,4,0,0,2,1,0,0,0,2,0,47,41,75,0,0,0,0,0,0
Iddrisu Baba,3,26,2116,0,0,0,0,8,1,13,2,0,0,0,1,47,32,31,29,0,5,0,3,0,0,0,0,1,7,0,34,5,80,0,0,0,0,0,0
Ante Budimir,4,26,2129,9,2,0,0,42,13,31,3,1,33,2,12,49,55,5,11,0,6,0,0,1,0,0,0,0,4,0,13,10,64,0,0,0,0,0,0
Sergi Guardiola,4,26,2136,6,2,0,0,47,16,34,30,1,3,1,18,45,41,6,8,0,6,0,0,0,0,0,0,0,0,0,25,13,71,0,0,0,2,1,1
Fabin Orellana,3,25,2138,7,6,0,0,39,17,44,106,34,32,0,29,47,20,19,17,0,8,1,0,1,4,3,0,0,0,0,60,39,77,62,8,1,1,0,0
Sergi Darder,3,27,2149,2,1,0,0,43,8,19,52,17,33,1,7,23,23,18,20,0,2,0,0,0,0,0,0,0,1,1,16,26,75,28,32,1,0,0,0
Martin Braithwaite,4,28,2153,7,1,0,0,50,24,48,12,0,0,1,15,32,31,5,8,0,3,0,0,0,1,0,0,0,2,0,41,15,70,0,0,0,1,0,0
Mikel Oyarzabal,3,26,2154,8,6,0,0,50,19,38,69,14,20,0,19,37,27,11,12,0,3,0,0,0,4,4,0,0,1,1,57,32,77,2,10,1,0,0,0
Marc Roca,3,25,2157,2,1,0,0,26,5,19,40,12,30,0,9,17,55,23,40,0,7,0,0,0,2,2,0,0,8,1,11,23,81,7,23,7,2,1,0
Pau Torres,2,25,2160,1,1,0,0,7,100,14,2,0,0,0,1,5,25,20,15,0,4,0,2,0,0,0,0,0,19,0,6,800,84,0,10,0,0,0,0
Raphal Varane,2,24,2160,2,1,0,0,8,200,25,2,0,0,0,1,6,13,22,17,0,2,0,0,0,0,0,0,0,12,0,6,300,87,0,4,0,0,0,0
Thibaut Courtois,1,24,2160,0,0,47,16,1,1,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,3,0,0,0,0
Fernando Pacheco,1,25,2178,0,0,64,34,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,55,0,12,0,0,0,0
Fernando Reges,3,25,2178,2,2,0,0,11,3,27,2,1,50,0,3,19,34,47,29,0,10,0,0,0,0,0,0,0,10,0,11,7,87,0,3,0,0,0,0
Ral Garca,3,26,2179,9,1,0,0,59,24,41,29,5,17,1,22,46,62,16,27,0,8,0,0,1,5,5,0,0,3,0,5,18,57,0,0,0,0,0,0
Jonathan Silva,2,25,2182,0,0,0,0,16,200,13,111,3100,28,0,15,31,31,26,32,0,11,0,0,0,0,0,0,1,3,0,10,2400,72,10,26,2,3,0,0
Antoine Griezmann,4,27,2184,8,4,0,0,48,21,44,21,5,24,0,14,16,9,10,15,0,2,0,0,0,0,0,0,0,2,0,16,28,82,3,1,0,0,0,0
Mauro Arambarri,3,25,2184,1,1,0,0,31,5,16,26,5,19,0,9,43,60,36,25,0,9,1,0,0,0,0,0,0,4,0,25,8,70,2,7,1,4,0,0
Vicente Iborra,3,27,2185,0,2,0,0,17,2,12,3,1,33,0,0,37,48,37,39,0,10,0,1,0,0,0,0,0,13,0,8,8,86,0,6,0,0,0,0
Daniel Wass,2,26,2202,1,6,0,0,16,400,25,70,700,10,0,16,29,25,27,20,0,5,0,0,0,0,0,0,0,3,0,8,1900,80,1,1,0,0,0,0
Ander Capa,2,26,2230,2,4,0,0,15,600,40,82,1300,16,0,17,13,40,25,27,0,10,0,0,0,0,0,0,0,5,0,36,1900,76,0,2,0,0,0,0
Yuri Berchiche,2,25,2242,2,1,0,0,30,800,27,81,1500,19,0,20,43,25,24,27,0,4,0,1,0,0,0,0,0,3,0,34,2600,82,0,6,1,2,0,0
Mikel Merino,3,26,2248,3,1,0,0,29,6,21,25,4,16,2,7,60,55,39,38,0,5,0,0,1,0,0,0,0,6,0,27,25,77,0,1,0,0,0,0
igo Martnez,2,25,2250,0,1,0,0,24,300,13,14,500,36,0,3,32,25,36,23,0,8,0,0,0,0,0,0,1,9,0,6,900,79,0,30,0,4,0,0
Leandro Cabrera,2,26,2250,2,0,0,0,10,300,30,9,200,22,1,6,14,22,30,12,1,4,0,0,0,0,0,0,0,10,0,3,600,57,0,34,0,0,0,0
Sergio Asenjo,1,25,2250,0,0,74,30,0,0,0,0,0,0,0,2,4,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,69,0,6,0,0,0,0
Unai Simn,1,25,2250,0,0,60,21,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,55,0,4,0,0,0,0
Nstor Araujo,2,26,2262,1,1,0,0,10,300,30,0,0,0,0,2,8,21,42,23,0,8,0,0,0,0,0,0,0,17,0,1,200,84,0,9,0,0,0,0
Vctor Daz,2,26,2265,0,5,0,0,14,0,0,101,2100,21,0,11,9,16,39,36,0,4,0,0,0,0,0,0,0,19,0,6,2600,67,4,18,2,0,0,0
Sergio Ramos,2,26,2279,6,0,0,0,31,1200,39,1,0,0,0,5,20,37,36,23,0,7,0,1,0,3,3,0,0,7,2,6,200,91,0,10,0,3,0,0
Iaki Williams,4,28,2282,6,0,0,0,37,21,57,46,15,33,2,19,37,20,5,4,0,3,0,0,1,2,1,0,0,0,0,39,23,75,0,0,0,0,0,0
Dani Rodrguez,3,28,2285,5,1,0,0,40,11,28,33,10,30,0,9,50,48,27,28,0,5,0,0,2,1,1,0,0,4,0,31,24,83,5,10,3,1,1,1
Dani Parejo,3,26,2300,8,3,0,0,28,13,46,127,41,32,0,14,76,20,20,33,0,6,1,1,1,5,5,0,0,10,0,27,45,86,87,60,8,15,5,2
Karim Benzema,4,27,2304,14,6,0,0,96,42,44,18,0,0,5,16,11,15,6,6,0,0,0,0,0,3,3,0,0,1,1,28,45,85,0,0,0,1,0,0
Carlos Casemiro,3,26,2309,3,2,0,0,34,7,21,18,5,28,0,4,41,69,57,56,1,10,0,0,0,0,0,0,0,8,0,19,9,83,0,6,1,3,0,0
Gerard Piqu,2,26,2309,1,0,0,0,9,500,56,0,0,0,2,0,15,25,28,16,1,11,0,2,0,0,0,0,0,20,0,4,400,91,0,11,0,1,1,0
Diego Carlos,2,26,2324,2,0,0,0,17,300,18,4,300,75,0,1,7,35,24,19,1,7,0,1,0,0,0,0,0,17,1,6,700,82,0,20,0,0,0,0
Pervis J. Estupin,2,26,2336,1,3,0,0,14,200,14,118,3100,26,0,15,29,28,48,37,0,6,0,0,0,0,0,0,0,6,1,48,3500,74,0,3,0,1,0,0
Dakonam Djen,2,26,2340,0,0,0,0,3,100,33,8,300,38,0,0,19,36,24,21,0,3,0,1,0,0,0,0,1,6,0,9,700,70,0,9,0,0,0,0
Lucas Olaza,2,26,2340,1,3,0,0,14,500,36,164,3800,23,0,26,18,20,28,27,0,4,0,0,1,0,0,0,0,11,1,11,2800,78,32,29,5,5,2,1
Marko Dmitrovic,1,26,2340,0,0,56,41,0,0,0,0,0,0,0,1,1,1,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,44,0,9,0,0,0,0
Rubn Blanco,1,26,2340,0,0,81,34,0,0,0,0,0,0,0,0,4,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,57,0,8,0,0,0,0
Rubn Duarte,2,26,2340,0,1,0,0,16,700,44,55,1200,22,0,9,33,37,39,28,0,9,0,4,1,0,0,0,0,7,0,3,900,69,1,11,0,0,0,0
Yeray lvarez,2,26,2340,0,0,0,0,11,200,18,12,300,25,0,4,25,15,51,17,0,2,0,1,0,0,0,0,0,17,0,10,500,78,0,23,1,0,0,0
Joel Robles,1,27,2347,0,0,75,38,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,70,0,11,0,0,0,0
Dani Garca,3,27,2369,0,0,0,0,11,0,0,4,1,25,0,1,28,43,38,28,0,6,0,0,0,0,0,0,0,3,0,8,10,81,0,5,1,0,0,0
Domingos Duarte,2,27,2380,2,0,0,0,9,300,33,0,0,0,0,2,17,27,25,10,1,6,0,3,0,0,0,0,0,19,0,4,0,80,0,32,0,0,0,0
Sergio Canales,3,27,2382,4,4,0,0,35,12,34,99,28,28,2,17,33,19,11,13,0,4,0,1,0,2,2,0,0,1,0,33,52,88,28,39,4,3,1,1
Tom Vaclk,1,27,2385,0,0,50,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,0,4,0,0,0,0
Jos Campaa,3,27,2387,2,5,0,0,30,6,20,135,33,24,0,19,43,22,27,17,1,4,1,1,0,0,0,0,0,5,0,47,59,81,73,35,3,3,2,1
Marc Cucurella,3,27,2395,1,5,0,0,21,5,24,84,19,23,1,7,49,53,20,45,0,6,0,0,1,0,0,0,0,7,0,23,40,67,1,9,3,1,0,0
Iago Aspas,4,27,2418,9,2,0,0,66,30,45,20,5,25,0,24,50,21,14,12,0,6,0,0,1,3,2,0,0,0,0,42,38,78,2,1,0,8,2,0
Diego Lpez,1,27,2422,0,0,77,46,0,0,0,0,0,0,0,0,5,1,2,1,0,4,1,0,0,0,0,0,0,0,0,2,1,52,0,12,0,0,0,0
Ral Albiol,2,27,2427,1,0,0,0,13,300,23,3,100,33,0,4,17,25,33,19,0,8,0,2,0,0,0,0,0,18,0,2,300,84,0,7,0,0,0,0
Kiko Olivas,2,27,2430,1,0,0,0,5,300,60,0,0,0,0,1,24,10,48,11,0,1,0,1,0,0,0,0,0,14,0,7,300,87,0,17,0,0,0,0
Manolo Reina,1,27,2430,0,0,93,45,0,0,0,0,0,0,0,1,7,0,5,0,0,4,0,0,0,0,0,1,0,0,1,0,0,56,0,7,0,0,0,0
Marc-Andr ter Stegen,1,27,2430,0,2,59,29,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,3,0,2,86,0,4,0,0,0,0
Rui Silva,1,27,2430,0,0,79,32,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,52,0,59,0,0,0,0
Sal guez,3,27,2430,3,0,0,0,37,9,24,28,5,18,0,16,21,48,45,47,0,6,0,0,0,0,0,0,0,10,0,19,12,78,0,1,0,3,0,0
Mohammed Salisu,2,28,2455,1,1,0,0,6,100,17,1,100,100,0,0,10,20,33,21,1,3,0,2,0,0,0,0,0,23,1,10,100,81,0,11,0,0,0,0
Jan Oblak,1,28,2495,0,0,62,22,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55,0,11,0,0,0,0
Jess Navas,2,28,2518,0,4,0,0,9,200,22,179,4400,25,0,31,21,14,22,14,0,4,0,0,0,0,0,0,0,3,0,30,4600,80,0,1,0,0,0,0
Aitor Fernndez,1,28,2520,0,0,128,41,0,0,0,0,0,0,0,1,4,0,3,1,0,2,0,0,0,0,0,2,0,0,1,0,1,59,0,4,0,0,0,0
David Soria,1,28,2520,0,0,58,27,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,41,0,31,0,0,0,0
Jordi Masip,1,28,2520,0,0,72,34,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1,47,0,11,0,0,0,0
Martin Valjent,2,28,2520,0,0,0,0,12,300,25,1,100,100,1,2,8,14,32,14,0,4,0,0,0,0,0,0,0,15,0,5,400,82,0,12,0,0,0,0
