Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
Joaqun Fernndez,3,15,1254,1,0,0,0,8,3,38,0,0,0,0,0,6,26,24,21,0,7,0,0,0,0,0,0,0,6,1,6,3,79,0,6,0,0,0,0
Nacho Martnez,2,15,1265,0,2,0,0,6,0,0,43,600,14,0,9,10,20,17,14,0,2,0,0,0,0,0,0,0,6,0,7,1700,70,0,16,1,0,0,0
Fran Beltrn,3,20,1268,0,0,0,0,9,2,22,10,2,20,0,0,8,11,13,14,0,2,1,1,0,0,0,0,0,1,0,15,10,89,1,3,0,0,0,0
Federico Valverde,3,23,1274,2,4,0,0,20,9,45,11,2,18,0,5,7,15,19,16,0,1,0,0,0,0,0,0,0,3,0,14,15,87,0,0,0,0,0,0
Fran Gmez,2,15,1275,0,1,0,0,10,100,10,41,800,20,0,5,3,20,26,36,0,2,0,1,0,0,0,0,0,8,0,12,800,74,0,0,0,0,0,0
Mubarak Wakaso,3,16,1285,0,0,0,0,14,1,7,15,1,7,0,0,24,41,20,32,1,12,1,0,0,0,0,0,0,5,1,26,5,76,0,4,0,0,0,0
Roberto Rosales,2,16,1285,0,1,0,0,3,100,33,58,1300,22,0,6,5,22,20,18,0,5,0,0,0,0,0,0,0,3,0,7,1600,69,4,2,1,1,0,0
Recio,3,19,1309,0,0,0,0,20,7,35,20,4,20,0,7,39,33,17,13,0,9,0,0,0,0,0,0,0,3,0,13,10,88,3,7,0,0,0,0
Luis Surez,4,18,1310,11,8,0,0,54,31,57,9,4,44,3,11,16,13,0,0,0,4,0,0,0,1,1,0,0,1,0,19,20,75,0,0,0,1,0,0
Rubn Rochina,3,20,1317,3,1,0,0,48,11,23,52,10,19,0,12,40,23,11,18,0,4,0,0,1,0,0,0,0,0,0,37,18,76,21,11,1,3,1,0
Alcaraz,3,18,1323,2,1,0,0,23,6,26,23,5,22,0,4,41,25,10,21,0,7,0,1,0,0,0,0,0,10,0,20,10,79,9,35,3,6,0,0
Joan Sastre,2,16,1324,0,2,0,0,15,100,7,63,1500,24,0,5,19,18,22,18,0,4,0,1,0,0,0,0,0,2,0,2,1400,71,0,4,1,1,0,0
Denis Surez,3,21,1326,1,3,0,0,15,7,47,82,22,27,0,10,30,13,13,10,0,3,0,0,1,1,0,0,0,1,0,45,35,82,42,15,1,0,0,0
Carlos Clerc,2,15,1348,0,2,0,0,2,0,0,43,400,9,0,4,14,16,19,14,0,4,0,0,0,0,0,0,0,4,0,15,500,70,0,4,0,0,0,0
Stefan Savic,2,15,1350,0,0,0,0,2,200,100,0,0,0,0,0,8,11,21,12,0,3,0,0,0,0,0,0,1,10,0,2,200,80,0,8,0,0,0,0
Xavi Quintill,2,16,1371,0,2,0,0,3,100,33,73,900,12,0,9,11,24,9,10,0,5,0,0,0,0,0,0,0,4,0,4,1900,85,2,6,0,2,0,0
Dimitrios Siovas,2,18,1378,0,0,0,0,10,300,30,5,0,0,0,2,5,17,32,27,0,5,0,1,0,0,0,0,0,0,0,2,200,72,0,14,0,0,0,0
